119접수일자,승강기고유번호,등록일시
2021-10-28,6004114,2021-10-29
2021-11-01,6048311,2021-11-02
2021-11-05,2156938,2021-11-08
2021-11-05,2203692,2021-11-08
2021-11-12,2028751,2021-11-15
2021-11-12,7003879,2021-11-15
2021-11-14,2210759,2021-11-15
2021-11-17,2076346,2021-11-19
2021-11-23,2174632,2021-11-25
2021-11-25,6010787,2021-11-25
2021-11-23,6010787,2021-11-25
2021-11-23,6020441,2021-11-25
2021-11-23,2147971,2021-11-25
2021-11-23,2026991,2021-11-25
2021-11-24,2118192,2021-11-25
2021-11-24,6035672,2021-11-25
2021-11-24,2176480,2021-11-25
2021-11-24,6002209,2021-11-25
2021-11-24,2026991,2021-11-25
2021-08-10,2176615,2021-08-11
2021-08-10,2089930,2021-08-11
2021-08-13,2102702,2021-08-17
2021-08-13,2102701,2021-08-17
2021-08-13,2240531,2021-08-17
2021-08-14,2069221,2021-08-17
2021-08-17,6058206,2021-08-18
2021-08-26,2152915,2021-08-30
2021-08-31,6004568,2021-09-01
2021-08-31,2044878,2021-09-01
2021-09-06,2128301,2021-09-07
2021-09-14,2014302,2021-09-15
2021-09-15,6037197,2021-09-16
2021-09-19,2204630,2021-09-24
2021-09-19,6020714,2021-09-24
2021-09-19,6051947,2021-09-24
2021-09-21,6005393,2021-09-24
2021-09-21,2066787,2021-09-24
2021-09-28,6036622,2021-09-28
2021-09-27,2177031,2021-09-28
2021-09-27,2050980,2021-09-28
2021-09-29,2185131,2021-09-30
2021-09-30,6027962,2021-10-01
2021-10-11,2004537,2021-10-12
2021-10-13,2028141,2021-10-14
2021-10-24,2066942,2021-10-26
2021-10-24,2201273,2021-10-26
2021-10-24,2088912,2021-10-26
2021-10-29,2195668,2021-11-02
2021-10-29,2180935,2021-11-02
2021-10-30,2233808,2021-11-02
2021-10-30,2044640,2021-11-02
2021-10-31,2067463,2021-11-02
2021-11-09,2037321,2021-11-10
2021-11-13,2212513,2021-11-15
2021-11-13,6000135,2021-11-15
2021-11-14,2195710,2021-11-15
2021-11-14,8053757,2021-11-15
2021-11-15,2076619,2021-11-16
2021-11-22,2171199,2021-11-22
2021-11-20,2136124,2021-11-22
2021-11-21,2117520,2021-11-22
2021-11-22,2047650,2021-11-23
2021-11-23,2058779,2021-11-25
2021-11-23,2109466,2021-11-25
2021-11-24,2070588,2021-11-25
2021-11-24,2164246,2021-11-25
2021-11-25,2000631,2021-11-29
2021-11-25,2155034,2021-11-29
2021-11-25,2118320,2021-11-29
2021-11-25,2143853,2021-11-29
2021-11-25,2100049,2021-11-29
2021-11-26,2072716,2021-11-29
2021-11-26,2037249,2021-11-29
2021-11-26,92088,2021-11-29
2021-11-27,2090256,2021-11-29
2021-11-27,2039704,2021-11-29
2021-11-27,2008612,2021-11-29
2021-08-08,6036392,2021-08-09
2021-08-08,2171139,2021-08-09
2021-08-16,2117867,2021-08-17
2021-08-16,2012188,2021-08-17
2021-08-16,2108293,2021-08-17
2021-08-16,6053560,2021-08-17
2021-08-16,2214231,2021-08-17
2021-08-20,2026619,2021-08-23
2021-08-21,2217682,2021-08-23
2021-08-21,2027659,2021-08-23
2021-08-23,2027660,2021-08-23
2021-08-21,6026344,2021-08-23
2021-08-21,2011953,2021-08-23
2021-08-22,2107789,2021-08-23
2021-08-22,6025346,2021-08-23
2021-08-23,2203800,2021-08-24
2021-08-24,6048307,2021-08-25
2021-08-24,2104399,2021-08-25
2021-08-24,6003217,2021-08-25
2021-08-24,6020185,2021-08-25
2021-08-30,2005078,2021-08-31
2021-09-02,8025503,2021-09-03
2021-09-02,2046429,2021-09-03
2021-09-02,8010842,2021-09-03
2021-09-03,6059086,2021-09-06
2021-09-03,2232927,2021-09-06
2021-09-03,6062495,2021-09-06
2021-09-04,2050041,2021-09-06
2021-09-04,2085577,2021-09-06
2021-09-05,6019368,2021-09-06
2021-09-06,2057214,2021-09-07
2021-09-10,2182400,2021-09-13
2021-09-12,7004588,2021-09-13
2021-09-12,2223193,2021-09-13
2021-09-12,2145374,2021-09-13
2021-09-15,2089922,2021-09-16
2021-09-15,6002682,2021-09-16
2021-09-15,2081971,2021-09-16
2021-09-15,2027750,2021-09-16
2021-09-26,2011864,2021-09-27
2021-09-27,2006443,2021-09-28
2021-09-27,5076156,2021-09-28
2021-10-01,2205498,2021-10-12
2021-10-19,2090788,2021-10-21
2021-10-19,2218616,2021-10-21
2021-10-19,2245366,2021-10-21
2021-10-20,2092867,2021-10-21
2021-10-20,2055238,2021-10-21
2021-10-21,2108234,2021-10-22
2021-10-30,6002648,2021-11-02
2021-10-30,2039152,2021-11-02
2021-10-31,2076624,2021-11-02
2021-10-31,2241045,2021-11-02
2021-11-06,2037388,2021-11-08
2021-11-08,2074444,2021-11-09
2021-11-16,6038709,2021-11-19
2021-11-20,6027476,2021-11-22
2021-11-21,2104148,2021-11-22
2021-08-08,8082026,2021-08-09
2021-08-11,2087808,2021-08-12
2021-08-11,2140766,2021-08-12
2021-08-12,2184045,2021-08-13
2021-08-13,2183947,2021-08-17
2021-08-14,2164290,2021-08-17
2021-08-20,2161975,2021-08-23
2021-08-20,7034829,2021-08-23
2021-08-20,2078525,2021-08-23
2021-08-21,2181324,2021-08-23
2021-08-21,6059491,2021-08-23
2021-08-23,2132476,2021-08-24
2021-08-26,6018050,2021-08-30
2021-08-26,2141621,2021-08-30
2021-08-26,2148732,2021-08-30
2021-08-27,2223694,2021-08-30
2021-08-27,2147664,2021-08-30
2021-08-27,2027328,2021-08-30
2021-08-27,2086271,2021-08-30
2021-08-28,2107512,2021-08-30
2021-09-08,2212558,2021-09-09
2021-09-10,2066232,2021-09-13
2021-09-12,6010595,2021-09-13
2021-09-12,2012020,2021-09-13
2021-09-12,2057214,2021-09-13
2021-09-12,2212513,2021-09-13
2021-09-13,2026986,2021-09-14
2021-09-13,2081752,2021-09-14
2021-09-14,2211063,2021-09-15
2021-09-15,2039581,2021-09-16
2021-10-03,2178554,2021-10-12
2021-10-05,2188836,2021-10-12
2021-10-06,6028000,2021-10-12
2021-10-09,2143966,2021-10-12
2021-10-10,2127430,2021-10-12
2021-10-11,2166220,2021-10-12
2021-10-13,2093083,2021-10-14
2021-10-13,2033870,2021-10-14
2021-10-14,2014043,2021-10-15
2021-10-15,6054644,2021-10-18
2021-10-15,2151436,2021-10-18
2021-10-15,2044170,2021-10-18
2021-10-16,2090788,2021-10-18
2021-10-16,2008144,2021-10-18
2021-10-16,2005089,2021-10-18
2021-10-16,2100265,2021-10-18
2021-10-17,2100068,2021-10-18
2021-10-17,2070422,2021-10-18
2021-10-17,2027085,2021-10-18
2021-10-17,2012769,2021-10-18
2021-10-17,2108381,2021-10-18
2021-10-17,2028033,2021-10-18
2021-10-21,6036425,2021-10-22
2021-10-25,2161807,2021-10-26
2021-10-26,7019905,2021-10-26
2021-10-27,2038763,2021-10-28
2021-10-27,2145011,2021-10-28
2021-10-28,2065602,2021-10-29
2021-08-14,2068480,2021-08-17
2021-08-14,2224206,2021-08-17
2021-08-14,2179724,2021-08-17
2021-08-15,6043570,2021-08-17
2021-08-21,8065168,2021-08-23
2021-08-21,2027660,2021-08-23
2021-08-23,2048361,2021-08-24
2021-08-23,6054675,2021-08-24
2021-08-31,2000201,2021-09-01
2021-08-31,6036618,2021-09-01
2021-08-31,2141236,2021-09-01
2021-09-08,2075443,2021-09-09
2021-09-13,2011973,2021-09-14
2021-09-13,2115557,2021-09-14
2021-09-17,2205562,2021-09-24
2021-09-18,6001821,2021-09-24
2021-09-19,2114421,2021-09-24
2021-09-21,2005613,2021-09-24
2021-09-22,2127575,2021-09-24
2021-09-24,7020145,2021-09-27
2021-09-26,2006286,2021-09-27
2021-09-26,2189086,2021-09-27
2021-09-27,8056350,2021-09-28
2021-09-29,2066803,2021-09-30
2021-10-11,2119594,2021-10-12
2021-10-12,2048661,2021-10-13
2021-10-12,8040999,2021-10-13
2021-10-14,2054005,2021-10-15
2021-10-15,2005957,2021-10-18
2021-10-16,2211735,2021-10-18
2021-10-24,2052918,2021-10-26
2021-10-26,2176569,2021-10-27
2021-10-27,2081957,2021-10-28
2021-10-28,8047884,2021-10-29
2021-10-28,7003875,2021-10-29
2021-10-28,2051610,2021-10-29
2021-10-29,2240531,2021-11-02
2021-10-30,2050364,2021-11-02
2021-10-30,2167707,2021-11-02
2021-11-01,2152915,2021-11-02
2021-11-01,2195354,2021-11-02
2021-11-01,2085974,2021-11-02
2021-11-04,2039704,2021-11-05
2021-11-04,2090221,2021-11-05
2021-11-06,2128986,2021-11-08
2021-11-08,2230329,2021-11-09
2021-11-09,2070938,2021-11-10
2021-11-09,2173790,2021-11-10
2021-11-12,2086729,2021-11-15
2021-11-14,6049610,2021-11-15
2021-11-16,2202767,2021-11-19
2021-11-16,2113113,2021-11-19
2021-11-18,7021671,2021-11-22
2021-11-18,6061920,2021-11-22
2021-11-18,7020112,2021-11-22
2021-11-18,2153540,2021-11-22
2021-11-19,2118137,2021-11-22
2021-11-21,2128347,2021-11-22
2021-08-10,2114457,2021-08-11
2021-08-11,2099338,2021-08-12
2021-08-11,6011808,2021-08-12
2021-08-16,2084534,2021-08-17
2021-08-19,6033773,2021-08-20
2021-08-21,2233683,2021-08-23
2021-08-23,2240555,2021-08-24
2021-08-23,2198747,2021-08-24
2021-08-25,6001823,2021-08-30
2021-08-25,6044800,2021-08-30
2021-08-25,6043137,2021-08-30
2021-08-25,6001152,2021-08-30
2021-08-25,2218442,2021-08-30
2021-08-27,2027328,2021-08-30
2021-08-27,2063009,2021-08-30
2021-08-28,2195513,2021-08-30
2021-08-28,2104159,2021-08-30
2021-09-07,2235931,2021-09-08
2021-09-13,2182400,2021-09-14
2021-09-15,2026161,2021-09-16
2021-09-16,2197475,2021-09-17
2021-09-23,6020713,2021-09-24
2021-09-23,2221371,2021-09-24
2021-09-23,8076644,2021-09-24
2021-09-25,8047495,2021-09-27
2021-09-25,2063247,2021-09-27
2021-09-25,8093804,2021-09-27
2021-09-25,2132133,2021-09-27
2021-09-26,2022403,2021-09-27
2021-10-07,6000760,2021-10-12
2021-10-12,2043942,2021-10-13
2021-10-13,6037081,2021-10-14
2021-10-13,2161236,2021-10-14
2021-10-16,2027452,2021-10-18
2021-10-16,2216912,2021-10-18
2021-10-16,2027514,2021-10-18
2021-10-16,2006493,2021-10-18
2021-10-17,6012344,2021-10-18
2021-10-17,6001823,2021-10-18
2021-10-17,2021351,2021-10-18
2021-10-18,6038716,2021-10-19
2021-10-26,2235464,2021-10-27
2021-11-04,6027313,2021-11-05
2021-11-05,2146083,2021-11-08
2021-11-05,2015085,2021-11-08
2021-11-06,2205498,2021-11-08
2021-11-07,2007452,2021-11-08
2021-11-08,8047757,2021-11-09
2021-11-10,2129452,2021-11-12
2021-11-16,2063902,2021-11-19
2021-11-21,6037225,2021-11-22
2021-11-21,6036070,2021-11-22
2021-11-18,2171199,2021-11-22
2021-11-22,2089500,2021-11-23
2021-11-22,2101512,2021-11-23
2021-11-23,6036570,2021-11-25
2021-11-23,2054930,2021-11-25
2021-11-23,6043065,2021-11-25
2022-02-23,2151386,2022-02-28
2022-02-23,6043056,2022-02-28
2022-02-26,2146676,2022-02-28
2022-02-28,2153258,2022-03-02
2022-09-12,6003696,2022-09-26
2022-09-15,2144835,2022-09-26
2022-09-13,76870,2022-09-27
2022-09-13,8105554,2022-09-27
2022-09-15,2042752,2022-09-27
2022-09-16,74259,2022-09-27
2022-09-17,2058044,2022-09-27
2022-09-18,144188,2022-09-27
2022-09-18,2144129,2022-09-27
2022-09-20,72666,2022-09-30
2022-09-20,2200929,2022-09-30
2022-09-22,2071152,2022-09-30
2022-09-22,2165405,2022-09-30
2022-09-22,5055680,2022-09-30
2022-09-22,37490,2022-09-30
2022-09-22,5042028,2022-09-30
